,步数10,步数50,步数100,步数200,步数300
基值数10,0.10235191503306851,0.110761727031786,0.2181021089782007,0.22038014902500436,0.2528031039983034
基值数50,0.30335979897063226,0.44788605003850535,0.6346024709637277,0.8697475959779695,1.0536239889916033
基值数100,0.6057735100039281,0.9011870640097186,1.055503420997411,1.5806754869990982,2.116191040026024
基值数200,1.2186278590233997,1.5568499770015478,2.001470278017223,2.9650034100050107,3.9103746890323237
基值数300,1.7142163130338304,2.386382664029952,3.052828654006589,4.5045114870299585,5.602935186994728
