,样本数10,样本数50,样本数100,样本数200,样本数300
EIDG,0.11899011401692405,0.16704069200204685,0.18007619603304192,0.19997486600186676,0.22812970698578283
kernelShap,0.45701996999559924,2.1222224080120213,4.306959760026075,8.380168797972146,12.953182336001191
LIME,10.587902550469153,54.21646050235722,107.19654349959455,212.31531440280378,329.1054225002881
